EpThisIter,EpRewMean,meankl,EpisodesSoFar,TimeElapsed,EpLenMean,TimestepsSoFar,surrgain,entloss,entropy,ev_tdlam_before,optimgain
7,2.520778208731269,0.0040731053,6115,10573.139529705048,35.9,208057,0.16568998,0.0,38.11816,0.9335410594940186,0.16568998
6,2.538411056213954,0.014140733,6121,10586.19883799553,36.8,208316,0.43320975,0.0,38.118397,0.9266798421740532,0.43320975
7,2.541523651549913,0.014427293,6128,10599.16046833992,38.075,208582,0.4350434,0.0,38.116493,0.9482434652745724,0.4350434
7,2.503769087492542,0.0038987529,6135,10612.236772298813,36.425,208827,0.1922456,0.0,38.118057,0.9267148897051811,0.1922456
7,2.4363093045956,0.0040922794,6142,10625.23239660263,37.925,209104,0.21404271,0.0,38.11854,0.931535005569458,0.21404271
8,2.4617921071550635,0.012114368,6150,10638.256565093994,37.425,209367,0.35554445,0.0,38.117874,0.9089008644223213,0.35554445
5,2.482428555929471,0.013542584,6155,10651.228873252869,38.15,209583,0.4684716,0.0,38.113968,0.9349294677376747,0.4684716
7,2.3960067188417193,0.014496118,6162,10664.461481332779,37.15,209841,0.38221458,0.0,38.114624,0.875489205121994,0.38221458
8,2.543279127896489,0.014519317,6170,10677.335044384003,35.775,210106,0.5748935,0.0,38.113365,0.8345640748739243,0.5748935
7,2.5210438402610365,0.0043810857,6177,10690.374496459961,36.7,210367,0.18944934,0.0,38.112633,0.8780984655022621,0.18944934
6,2.6490152505566273,0.0037910999,6183,10703.577806472778,36.85,210607,0.21837318,0.0,38.111618,0.9057203754782677,0.21837318
6,2.5956501796656206,0.0138728265,6189,10716.773791074753,38.225,210853,0.3654471,0.0,38.112015,0.8865185081958771,0.3654471
7,2.439237979882473,0.012703763,6196,10729.652357578278,37.325,211101,0.5846865,0.0,38.11007,0.9204154312610626,0.5846865
8,2.380394002487637,0.0038564643,6204,10742.70379948616,36.0,211356,0.19414905,0.0,38.109753,0.920487605035305,0.19414905
7,2.2027168424404113,0.004286439,6211,10755.694511890411,36.125,211603,0.21438006,0.0,38.110104,0.9130209386348724,0.21438006
5,2.332010266682185,0.0041906065,6216,10768.874492406845,37.05,211825,0.22645026,0.0,38.110855,0.8983556032180786,0.22645026
7,2.2725430395792667,0.0112769315,6223,10781.833879232407,36.775,212078,0.33384362,0.0,38.11107,0.7705197930335999,0.33384362
7,2.396780793673873,0.0041844966,6230,10794.798949241638,36.3,212342,0.20407188,0.0,38.11065,0.8475961089134216,0.20407188
6,2.4131237692567,0.013667348,6236,10807.91097187996,36.75,212571,0.38815272,0.0,38.109657,0.9312017038464546,0.38815272
7,2.545335322792087,0.0040359423,6243,10821.080397844315,38.55,212866,0.20393816,0.0,38.1104,0.9269081130623817,0.20393816
7,2.7397568211036436,0.014318691,6250,10833.839512825012,39.15,213123,0.37546286,0.0,38.10991,0.9103079959750175,0.37546286
7,2.6657319198485423,0.014735531,6257,10846.74484872818,37.9,213391,0.5507139,0.0,38.10863,0.920997254550457,0.5507139
7,2.8294444856886374,0.0138312,6264,10860.10247850418,38.175,213653,0.46920782,0.0,38.10792,0.9012931510806084,0.46920782
6,2.850655823233387,0.014204895,6270,10873.047094583511,38.85,213896,0.49550998,0.0,38.108437,0.8878980502486229,0.49550998
8,2.7567852523374565,0.0039261915,6278,10885.994150161743,37.3,214154,0.20339502,0.0,38.108604,0.9329426512122154,0.20339502
7,2.677708280198589,0.014645573,6285,10899.026538848877,35.825,214379,0.5138972,0.0,38.1108,0.911712110042572,0.5138972
6,2.6209337600259808,0.00410353,6291,10912.254621505737,36.55,214605,0.18443999,0.0,38.111008,0.8813735544681549,0.18443999
8,2.4159411049418775,0.014688643,6299,10925.208731174469,34.55,214853,0.49500594,0.0,38.112186,0.9547300115227699,0.49500594
6,2.427494647152383,0.004047339,6305,10938.120558977127,35.925,215125,0.22178724,0.0,38.111588,0.8877638801932335,0.22178724
7,2.41067773551823,0.014192027,6312,10951.066145658493,34.95,215363,0.5489154,0.0,38.112843,0.7676914036273956,0.5489154
7,2.568530451626295,0.0038551497,6319,10964.317833185196,35.55,215610,0.23538844,0.0,38.11296,0.9539830796420574,0.23538844
6,2.5202040191458486,0.0041529275,6325,10977.132771968842,36.95,215857,0.24813133,0.0,38.113323,0.8787677735090256,0.24813133
8,2.4853704980335776,0.003932201,6333,10990.21917438507,35.75,216110,0.2037601,0.0,38.11311,0.8268147110939026,0.2037601
9,2.5334523134487554,0.0141450735,6342,11003.438825368881,34.825,216364,0.45246077,0.0,38.11405,0.8822571858763695,0.45246077
7,2.5146567745249953,0.004470704,6349,11016.400674819946,34.675,216632,0.19023234,0.0,38.11365,0.9278365671634674,0.19023234
9,2.4426955725476223,0.0040010945,6358,11029.42842912674,32.8,216881,0.19520275,0.0,38.113876,0.81365667283535,0.19520275
7,2.4745756740474336,0.004036268,6365,11042.622636318207,31.3,217109,0.22758558,0.0,38.113537,0.9001807868480682,0.22758558
7,2.5167657207238823,0.0041046087,6372,11055.725223302841,33.25,217405,0.2160506,0.0,38.11373,0.9147199019789696,0.2160506
7,2.666380185666827,0.004145463,6379,11068.85113978386,34.75,217686,0.20833206,0.0,38.114124,0.8653827756643295,0.20833206
